Detail,0,1,175.02,201.2730,,15,0,,1002100,Special,6,ADD01,,,,,,,,
Detail,0,1,270.00,310.5000,,15,0,,1002101,Sip Account,6,ADD01,,,,,,,,
Detail,,,,,,,,,,,7,ADD01,,,,,,,,
Detail,0,1,0,0,,0,0,,0,2021-06-15 - 2021-05-15,7,ADD01,,,,,,,,
Header,,,,AGR02,5,2021-06-15,Call Charges,N,,,,,,,,,,,,2021-06-15
Detail,0,1,477.00,548.5500,,15,0,,NO GL MATCH,Teams Voice Plus Subscription @ R159.00 per User,6,AGR02,,,,,,,,
Detail,0,1,663.00,762.4500,,15,0,,NO GL MATCH,Microsoft Phone License @R221.00 per User,6,AGR02,,,,,,,,
Detail,0,1,3.85,4.4275,,15,0,,1002100,Fixed to Mobile CLI,6,AGR02,,,,,,,,
Detail,0,1,26.47,30.4405,,15,0,,1002100,International,6,AGR02,,,,,,,,
Detail,,,,,,,,,,,7,AGR02,,,,,,,,
Detail,0,1,0,0,,0,0,,0,2021-06-15 - 2021-05-15,7,AGR02,,,,,,,,
Header,,,,AGR01,5,2021-06-15,Call Charges,N,,,,,,,,,,,,2021-06-15
Detail,0,1,8.40,9.6600,,15,0,,1002100,National,6,AGR01,,,,,,,,
Detail,0,1,204.56,235.2440,,15,0,,1002100,Fixed to Mobile CLI,6,AGR01,,,,,,,,
Detail,0,1,27.00,31.0500,,15,0,,1002100,Local,6,AGR01,,,,,,,,
Detail,0,1,6.17,7.0955,,15,0,,1002100,Special,6,AGR01,,,,,,,,
Detail,0,1,295.00,339.2500,,15,0,,1002100,Monthly Line Rental: 1 - 4 Lines,6,AGR01,,,,,,,,
Detail,0,1,72.70,83.6050,,15,0,,1002100,International,6,AGR01,,,,,,,,
Detail,,,,,,,,,,,7,AGR01,,,,,,,,
Detail,0,1,0,0,,0,0,,0,2021-06-15 - 2021-05-15,7,AGR01,,,,,,,,
Header,,,,AIR01,5,2021-06-15,Call Charges,N,,,,,,,,,,,,2021-06-15
Detail,0,1,52.23,60.0645,,15,0,,1002100,National,6,AIR01,,,,,,,,
Detail,0,1,440.00,506.0000,,15,0,,1002100,Monthly Line Rental: 4 - 8 Lines,6,AIR01,,,,,,,,
Detail,0,1,1662.86,1912.2890,,15,0,,1002100,Fixed to Mobile CLI,6,AIR01,,,,,,,,
Detail,0,1,310.00,356.5000,,15,0,,1002100,Local,6,AIR01,,,,,,,,
Detail,0,1,207.11,238.1765,,15,0,,1002100,Special,6,AIR01,,,,,,,,
Detail,,,,,,,,,,,7,AIR01,,,,,,,,
Detail,0,1,0,0,,0,0,,0,2021-06-15 - 2021-05-15,7,AIR01,,,,,,,,
Header,,,,SEE01,5,2021-06-15,Call Charges,N,,,,,,,,,,,,2021-06-15
